source_file,abstract,pyrolysis_related,include_in_oil_db,reason,flags
S0956053X24005245__META_ABS.xml,"Title: Monomer production from supercritical ethanol depolymerization of PET plastic waste using Ni-ZnO/Al2O3 catalyst
Abstract: Plastic waste poses a serious threat to the global environment, with recycled polyethylene terephthalate (PET) plastic accounting for a considerable portion. The application of supercritical ethanol depolymerization technology presents an effective method for recycling PET waste. This study investigated using Ni as an additive to enhance the catalytic activity of ZnO/Al2O3 catalyst for PET waste depolymerization. The effects of different catalysts, catalyst dosage, reaction temperature, and reaction time on PET waste depolymerization were studied using the single-factor controlled variable method. The results showed that the 3Ni-ZnO/Al2O3 was the optimal catalyst, and under the optimal conditions with catalyst dosage of 4 %, reaction temperature of 260 °C, and reaction time of 60 min, the depolymerization efficiency of PET waste could reach 100 %, with the highest yields of diethyl terephthalate (DET) and ethylene glycol (EG) of 93.6 % and 90.2 %, respectively. Response surface methodology (RSM) was used to optimize the operating conditions to obtain the highest monomer yields. The predicted optimal parameters from RSM were as follows: reaction temperature = 262.8 °C, reaction time = 63.2 min, catalyst dosage = 3.8 wt%, with the predicted highest DET and EG yields of 95.9 % and 90.7 %, respectively. The analysis of variance (ANOVA) results for DET and EG possessed the R2 values of 0.9921 and 0.9885, respectively, with p-values < 0.0001, indicating a good fit for the models. Furthermore, after five times reuse, the 3Ni-ZnO/Al2O3 catalyst still exhibited good catalytic activity and stability. In conclusion, this study offers a clean, green, and sustainable alternative to recycling plastic waste.",YES,NO,"The study focuses on monomer production (DET and EG) rather than oil composition, with no reported liquid/oil product fingerprint data.",TARGET_AROMATICS;NO_OIL_INFO;OIL_NOT_MAIN_PRODUCT
S0378382013001033__META_ABS.xml,"Title: Conversion of low density polyethylene into fuel through co-processing with vacuum gas oil in a fluid catalytic cracking riser reactor
Abstract: In this work, mixtures of vacuum gas oil and low density polyethylene, a major component of common industrial and consumer household plastics, were pyrolytically co-processed in a fluid catalytic cracking (FCC) riser reactor as a viable alternative for the energy and petrochemical revalorisation of plastic wastes into valuable petrochemical feedstocks and fuel within an existing industrial technology. Using equilibrium FCC catalyst, the oil–polymer blends were catalytically cracked at different processing conditions of temperatures between 773K and 973K and catalyst feed ratios of 5:1, 7:1 and 10:1. The influence of each of these processing parameters on the cracking gas and liquid yield patterns were studied and presented. Further analysed and presented are the different compositional distributions of the obtained liquids and gaseous products. The analysis of the results obtained revealed that with very little modifications to existing process superstructure, yields and compositional distributions of products from the fluid catalytic cracking of the oil–polymer blend in many cases were very similar to those of the processed oil feedstock, bringing to manifest the viability of the feedstock co-processing without significant detriments to FCC product yields and quality.",YES,NO,Co-pyrolysis with vacuum gas oil (a petroleum-derived feed) without clear data on pure plastic oil composition or fingerprinting.,CO_PYROLYSIS
S0961953425006592__META_ABS.xml,"Title: Co-pyrolysis of waste cooking oil and polypropylene: A route to improved biofuel from mixed waste streams
Abstract: This study explores the use of thermochemical co-pyrolysis of waste polypropylene and waste cooking oil as a sustainable pathway for converting plastic and lipid-based residues into liquid biofuels. Comprehensive characterisation is performed using thermogravimetric analysis, elemental analysis, Fourier-transform infrared spectroscopy, and gas chromatography-mass spectrometry to assess decomposition behaviour, product yields, and chemical composition across varying feedstock blend ratios. The addition of waste cooking oil is found to significantly reduce the initial decomposition temperature from 396 °C (pure waste polypropylene) to 315 °C, and to enhance the liquid yield, reaching a maximum of 70.00 % at a 1:1 blend ratio of the two feedstocks. Chemical analysis reveals a progressive increase in oxygenated functional groups and a shift toward longer-chain hydrocarbon compounds (C13–C18) with an increase in the content of waste cooking oil, features associated with improved combustion potential and fuel quality. Particulate matter analysis reveals notable variations in particle size distribution and concentration, with waste polypropylene alone generating predominantly ultrafine particles in the 3–30 nm range. In contrast, higher proportions of waste cooking oil and increased thermal load are found to shift the particle sizes toward the 20–40 nm range. These results indicate that the co-pyrolysis of plastic and cooking oil waste not only enables efficient waste valorisation but also produces bio-based liquid fuels with favourable chemical and emission-related properties. The findings support the development of integrated waste-to-energy strategies that are aligned with the concept of the circular economy and sustainable bioenergy goals.",YES,NO,"Co-pyrolysis with waste cooking oil, without separate data on pure polypropylene oil composition, distorts plastic fingerprint and is not suitable for oil-to-plastic inference.",CO_PYROLYSIS
S0956053X12004321__META_ABS.xml,"Title: Pyrolysis behavior of different type of materials contained in the rejects of packaging waste sorting plants
Abstract: In this paper rejected streams coming from a waste packaging material recovery facility have been characterized and separated into families of products of similar nature in order to determine the influence of different types of ingredients in the products obtained in the pyrolysis process. The pyrolysis experiments have been carried out in a non-stirred batch 3.5dm3 reactor, swept with 1Lmin−1 N2, at 500°C for 30min. Pyrolysis liquids are composed of an organic phase and an aqueous phase. The aqueous phase is greater as higher is the cellulosic material content in the sample. The organic phase contains valuable chemicals as styrene, ethylbenzene and toluene, and has high heating value (HHV) (33–40MJkg−1). Therefore they could be used as alternative fuels for heat and power generation and as a source of valuable chemicals. Pyrolysis gases are mainly composed of hydrocarbons but contain high amounts of CO and CO2; their HHV is in the range of 18–46MJkg−1. The amount of COCO2 increases, and consequently HHV decreases as higher is the cellulosic content of the waste. Pyrolysis solids are mainly composed of inorganics and char formed in the process. The cellulosic materials lower the quality of the pyrolysis liquids and gases, and increase the production of char.",YES,NO,"The study involves lab-scale pyrolysis of mixed packaging waste with no clear separation or characterization of individual plastic types, and the focus is on the influence of cellulosic content rather than plastic-specific oil fingerprints.",CO_PYROLYSIS;NO_OIL_INFO
S1876610217304204__META_ABS.xml,"Title: Thermocatalytic Studies on Municipal Solid Waste
Abstract: The goal of this study was to upgrade the decomposition products of municipal solid waste applying different catalysts during slow and high heating rate pyrolysis. The municipal waste studied was a mixture of biomass and plastics in a ratio of 1:1. Different zeolites (β- and Y-zeolites, ZSM-5 and FCC catalysts) and nickel-molybdenum (NiMo/Al2O3) catalysts were tested in order to upgrade the quality of the decomposition product mixture. The applied sample-catalyst ratio was 2:1. The evolution profiles of the gas phase decomposition products were monitored by thermogravimetry/mass spectrometry (TG/MS). The product distribution was analyzed by pyrolysis-gas chromatography/mass spectrometry (Py-GC/MS) technique. The effect of the catalysts on the biomass part of the waste sample is very similar. The thermal decomposition of the plastic fraction is catalyzed mainly by β-zeolite and ZSM-5, as the thermogravimetric and the mass spectrometric data indicate. The pyrolysis results unambiguously show the cracking effects of the applied catalysts on the composition of the evolving hydrocarbon mixture. The yield of the aromatic products is increased significantly.",YES,NO,Co-pyrolysis with biomass and no separate condition for pure plastic oil composition data.,CO_PYROLYSIS;NO_OIL_INFO
S0165237006001616__META_ABS.xml,"Title: Catalytic cracking of polyethylene over nanocrystalline HZSM-5: Catalyst deactivation and regeneration study
Abstract: In this work, catalytic cracking of low density polyethylene (LDPE) over nanocrystalline HZSM-5 zeolite in a batch reactor at 340°C was carried out with the aim of study both the catalyst resistance to deactivation and the catalyst regeneration process. For looking into the catalyst deactivation, consecutive polyethylene cracking experiments were carried out. Subsequently, the same reactions has been also performed but by regenerating the zeolite after each experiment by promoting coke combustion at 550°C under air flow. Zeolites used were two samples of nanocrystalline HZSM-5 with very different textural properties (sample A, with most of its surface corresponding to zeolitic micropores and sample B with a considerable amount of external surface, mesopores and super-micropores) in order to study the effect of their textural properties in the deactivation and regeneration experiments. Although conversion and activity values reached over both samples are quite high taking into account the mild conditions used, sample B shows a very much higher initial activity than A due to its improved textural properties. In both samples two different deactivation mechanisms occur: a reversible deactivation by coke deposition removable by the regeneration procedure, and an irreversible or permanent deactivation by other factors. Deactivation of sample B occurs faster due to the higher amount of coke deposited on this material. However, the improved textural properties of this catalyst supposes an advantage for the regeneration process, since coke deposited either on the external surface or on the super-micropores and mesopores, makes easier the regeneration procedure.",YES,NO,Focus on catalyst deactivation and regeneration mechanisms rather than plastic oil composition or fingerprint data.,CATALYST_MECHANISM_FOCUS
S0141391007000560__META_ABS.xml,"Title: Chemical catalysed recycling of waste polymers: Catalytic conversion of polypropylene into fuels and chemicals over spent FCC catalyst in a fluidised-bed reactor
Abstract: Polypropylene (PP) was pyrolysed over spent FCC commercial catalyst (FCC-s1) using a laboratory fluidised-bed reactor operating isothermally at ambient pressure. The influence of reaction conditions including catalyst, temperature, and ratio of polymer to catalyst feed and flow rates of fluidising gas was examined. The yield of gaseous and liquid hydrocarbon products at 390°C for spent FCC commercial catalyst (87.8wt%) gave much higher yield than silicate (only 17.1wt%). Greater product selectivity was observed with FCC-s1 as a post-use catalyst with about 61wt% olefins products in the C3–C7 range. The selectivity could be further influenced by changes in reaction conditions. Valuable hydrocarbons of olefins and iso-olefins were produced by low temperatures and short contact times used in this study. It is also demonstrated that a post-use catalyst system under appropriate conditions the resource potential of polymer waste can be economically recovered and also can address the recycling desire to see an alternative to solve a major environment problem.",YES,YES,Pure polypropylene pyrolysis with detailed liquid product yield and olefin selectivity data reported under thermal conditions with a general-purpose catalyst.,SINGLE_PLASTIC;HAS_OIL_YIELD_DATA;GENERAL_CATALYST
S0956053X2200112X__META_ABS.xml,"Title: Feasibility study on co-processing of automobile shredder residue in coal-fired power plants via pyrolysis
Abstract: Facing the challenges of organic industrial solid waste (OISW) disposal, co-processing of OISW by power plants has become a developing trend. In order to avoid feeding problems of OISW and enhance the combustion adaptability of the furnace, pyrolysis coupled with incineration technology is proposed as a potential method. Among various OISW, automobile shredder residue (ASR) is regarded as a promising fuel due to its high heating value. In view of engineering application, the researches focused on the products’ properties and economic evaluation under a wide range of heating rates which are insufficient. In this study, regarding the rapid pyrolysis by conducting the high-temperature flue gas as heating source in power plants, the pyrolysis behavior of ASR was correspondingly studied under a wide range of heating rates. The formation of volatiles and property’s improvement were further investigated for generating high-valued oil. Results showed that the high heating rate is not only beneficial to the homogenization of pyrolytic products but also the aromatization in oil and radical generation in gases. Importantly, it also contributed to the cleavage of the single bond connected to the benzene ring and carbon-oxygen single bond for esters. By conducting the enhanced cracking of volatiles, the wax-like fraction was significantly reduced. In addition, the deoxygenation in oil (oxygen content decreased by 20 wt%) and high heating value of gases (increased by 73%) were improved. Our findings demonstrated the feasibility and economic efficiency for the co-processing of ASR in coal-fired power plants via pyrolysis and thus provide guidance for future commercial application.",YES,NO,"Co-pyrolysis of automobile shredder residue with coal, without clear data on pure plastic oil composition or focus on plastic fingerprinting.",CO_PYROLYSIS;OIL_NOT_MAIN_PRODUCT
S0165237005000689__META_ABS.xml,"Title: Kinetics of scrap tyre pyrolysis under fast heating conditions
Abstract: The kinetics of scrap tyre pyrolysis has been studied by means of thermogravimetry (runs at constant temperature and following temperature ramps) and using a fast heating microreactor. The advantages of the microreactor for obtaining kinetic data at higher temperatures (in the 773–973K range) than those corresponding to thermogravimetry and under conditions similar to those of continuous large-scale reactor are clearly shown. The validity of the kinetic parameters determined (E =98.6kJmol−1 and k 0 =7.35×104 s−1) will only be restricted by unavoidable heat and mass transfer limitations, which have been minimized by using a particle size smaller than 0.2mm. The kinetic results are evidence, on the one hand, of the limitations of these laboratory techniques for the kinetic study and, on the other, of the inherent heat and mass limitations of this material. Through monitoring by gas chromatography, the kinetics of formation of hydrocarbon products has been determined. These products are interesting as raw materials for petrochemistrical industry (mainly light olefins and aromatics) and for the synthesis of basic materials in tyre manufacturing (isoprene and 1,3-butadiene).",YES,NO,"The study focuses on kinetic modeling and gas product formation (light olefins, aromatics, isoprene, butadiene) rather than on liquid/oil composition or yield, with no clear reporting of oil fingerprint data.",TARGET_AROMATICS;NO_OIL_INFO
S0165237021004071__META_ABS.xml,"Title: From plastics to methane and carbon spheres: The evolution of pyrolysis products during pyrolysis under autogenic atmosphere
Abstract: Pyrolysis of plastics is a promising technique towards high-value utilization and solvent-free treatment of plastic waste. However, low product selectivity and broad product distribution may restrict the application of plastic pyrolysis. In this study, polyolefins and polystyrene (PS) were converted into methane and carbon spheres through pyrolysis under autogenic atmosphere (AAP). To elucidate the product evolution and reaction mechanism of AAP, product distributions, compositions and properties at 450–700 °C were investigated. At 450 °C, polyolefins were converted into 89.3–96.91 wt% pyrolysis oil; PS was converted into 88.4 wt% of pyrolysis oil, 2.3 wt% of gas and 9.3 wt% of char. As the increase of temperature, the yields of methane and pyrolysis char increased significantly. At 700 °C, the yields of pyrolysis chars were as high as ~45 wt% and 74.1 wt% for polyolefins and PS, respectively, and the rest products was mainly pyrolysis gas with less than 1 wt% of pyrolysis oil. Pyrolysis chars were well carbonized spheres with diameters of 2 − 8 µm. Pyrolysis gas contained 93.83–95.74 vol% of methane, and possessed higher heating values of 35.8–36.2 MJ m−3. The pyrolysis products with high purity and narrow distribution can be attributed to the enhancement of AAP on the secondary reactions of primary decomposition products, such as cracking, hydrogenation, aromatization and condensation.",YES,NO,"The study focuses on methane and carbon spheres as main products, with oil being a minor or transient product, and does not report detailed oil composition for fingerprinting.",TARGET_HYDROGEN;OIL_NOT_MAIN_PRODUCT;NO_OIL_INFO
