file,has_rawtext,date_search_begin,year_nav,has_caption
0009-2541(76)90039-5__FULL.xml,False,,,False
0016-7037(82)90318-0__FULL.xml,False,,,False
0016-7037(89)90028-8__FULL.xml,False,,,False
0016-7037(90)90049-Q__FULL.xml,False,,,False
0016-7037(94)90271-2__FULL.xml,False,,,False
0040-1951(92)90124-O__FULL.xml,False,,,False
0043-1354(94)90291-7__FULL.xml,False,,,False
0045-6535(84)90063-8__FULL.xml,False,,,False
0048-9697(84)90282-1__FULL.xml,False,,,False
0166-3097(86)90019-2__FULL.xml,False,,,False
0166-3097(87)90003-4__FULL.xml,False,,,False
0169-1368(88)90015-7__FULL.xml,False,,,False
0191-815X(84)90045-7__FULL.xml,False,,,False
0301-9268(81)90025-5__FULL.xml,False,,,False
0304-3967(80)90001-3__FULL.xml,False,,,False
0361-3658(77)90014-5__FULL.xml,False,,,False
0921-3449(91)90013-E__FULL.xml,False,,,False
0921-3449(94)90005-1__FULL.xml,False,,,False
0960-1686(90)90108-Y__FULL.xml,False,,,False
S0001-8686(00)00040-3__FULL.xml,False,20001211.0,2000.0,True
S0001-8686(19)30481-6__FULL.xml,False,20200501.0,2020.0,True
S0001-8686(21)00179-2__FULL.xml,False,20220101.0,2022.0,True
S0001-8686(22)00042-2__FULL.xml,False,20220501.0,2022.0,True
S0001-8686(22)00171-3__FULL.xml,False,20221001.0,2022.0,True
S0001-8686(23)00122-7__FULL.xml,False,20230801.0,2023.0,True
S0001-8686(24)00223-9__FULL.xml,False,20241101.0,2024.0,True
S0001-8686(24)00237-9__FULL.xml,False,20241201.0,2024.0,True
S0001-8686(24)00240-9__FULL.xml,False,20241201.0,2024.0,True
S0001-8686(24)00243-4__FULL.xml,False,20241201.0,2024.0,True
S0001-8686(25)00119-8__FULL.xml,False,20250801.0,2025.0,True
S0001-8686(25)00132-0__FULL.xml,False,20250801.0,2025.0,True
S0001-8686(25)00143-5__FULL.xml,False,20250801.0,2025.0,True
S0003-2670(03)00354-4__FULL.xml,False,20030526.0,2003.0,True
S0003-2670(04)00292-2__FULL.xml,False,20040625.0,2004.0,True
S0003-2670(09)01092-7__FULL.xml,False,20091005.0,2009.0,True
S0003-2670(15)00434-1__FULL.xml,False,20150623.0,2015.0,True
S0003-2670(15)01162-9__FULL.xml,False,20151008.0,2015.0,True
S0003-2670(16)30549-9__FULL.xml,False,20160720.0,2016.0,True
S0003-2670(16)31491-X__FULL.xml,False,20170222.0,2017.0,True
S0003-2670(18)30912-7__FULL.xml,False,20181224.0,2018.0,True
S0003-2670(21)00622-X__FULL.xml,False,20211115.0,2021.0,True
S0003-2670(23)00959-5__FULL.xml,False,20231016.0,2023.0,True
S0003-2670(24)00145-4__FULL.xml,False,20240401.0,2024.0,True
S0003-2670(24)00308-8__FULL.xml,False,20240529.0,2024.0,True
S0003-2670(24)00747-5__FULL.xml,False,20240829.0,2024.0,True
S0003-2670(24)00989-9__FULL.xml,False,20241115.0,2024.0,True
S0007-8506(09)00168-1__FULL.xml,False,20090101.0,2009.0,True
S0007-8506(11)00207-1__FULL.xml,False,20110101.0,2011.0,True
S0007-8506(12)00204-1__FULL.xml,False,20120101.0,2012.0,True
S0007-8506(18)30156-2__FULL.xml,False,20180101.0,2018.0,True
S0007-8506(24)00122-7__FULL.xml,False,20240101.0,2024.0,True
S0008-6223(02)00008-8__FULL.xml,False,20020801.0,2002.0,True
S0008-6223(08)00448-X__FULL.xml,False,20081201.0,2008.0,True
S0008-6223(08)00534-4__FULL.xml,False,20090201.0,2009.0,True
S0008-6223(10)00500-2__FULL.xml,False,20101101.0,2010.0,True
S0008-6223(11)00215-6__FULL.xml,False,20110801.0,2011.0,True
S0008-6223(11)00269-7__FULL.xml,False,20110801.0,2011.0,True
S0008-6223(13)00665-9__FULL.xml,False,20131101.0,2013.0,True
S0008-6223(13)01106-8__FULL.xml,False,20140301.0,2014.0,True
S0008-6223(14)00087-6__FULL.xml,False,20140601.0,2014.0,True
S0008-6223(15)30052-X__FULL.xml,False,20151101.0,2015.0,True
S0008-6223(15)30252-9__FULL.xml,False,20160101.0,2016.0,True
S0008-6223(16)30041-0__FULL.xml,False,20160401.0,2016.0,True
S0008-6223(16)30695-9__FULL.xml,False,20161201.0,2016.0,True
S0008-6223(16)30760-6__FULL.xml,False,20161201.0,2016.0,True
S0008-6223(17)30368-8__FULL.xml,False,20170801.0,2017.0,True
S0008-6223(18)30659-6__FULL.xml,False,20181101.0,2018.0,True
S0008-6223(18)30943-6__FULL.xml,False,20190201.0,2019.0,True
S0008-6223(18)31032-7__FULL.xml,False,20190301.0,2019.0,True
S0008-6223(18)31254-5__FULL.xml,False,20190401.0,2019.0,True
S0008-6223(19)30559-7__FULL.xml,False,20191101.0,2019.0,True
S0008-6223(19)30732-8__FULL.xml,False,20191101.0,2019.0,True
S0008-6223(19)30751-1__FULL.xml,False,20191101.0,2019.0,True
S0008-6223(20)30008-7__FULL.xml,False,20200430.0,2020.0,True
S0008-6223(20)30204-9__FULL.xml,False,20200601.0,2020.0,True
S0008-6223(20)30206-2__FULL.xml,False,20200601.0,2020.0,True
S0008-6223(20)30456-5__FULL.xml,False,20200930.0,2020.0,True
S0008-6223(20)30555-8__FULL.xml,False,20201030.0,2020.0,True
S0008-6223(21)00118-4__FULL.xml,False,20210430.0,2021.0,True
S0008-6223(21)00296-7__FULL.xml,False,20210630.0,2021.0,True
S0008-6223(21)00862-9__FULL.xml,False,20211030.0,2021.0,True
S0008-6223(22)00598-X__FULL.xml,False,20230105.0,2023.0,True
S0008-6223(22)00711-4__FULL.xml,False,20230105.0,2023.0,True
S0008-6223(22)00858-2__FULL.xml,False,20230105.0,2023.0,True
S0008-6223(23)00035-0__FULL.xml,False,20230305.0,2023.0,True
S0008-6223(23)00177-X__FULL.xml,False,20230401.0,2023.0,True
S0008-6223(23)00269-5__FULL.xml,False,20230605.0,2023.0,True
S0008-6223(23)00311-1__FULL.xml,False,20230615.0,2023.0,True
S0008-6223(23)00518-3__FULL.xml,False,20230901.0,2023.0,True
S0008-6223(23)00692-9__FULL.xml,False,20231101.0,2023.0,True
S0008-6223(23)00866-7__FULL.xml,False,20240125.0,2024.0,True
S0008-6223(23)00992-2__FULL.xml,False,20240210.0,2024.0,True
S0008-6223(24)00263-X__FULL.xml,False,20240410.0,2024.0,True
S0008-6223(24)00273-2__FULL.xml,False,20240425.0,2024.0,True
S0008-6223(24)00321-X__FULL.xml,False,20240501.0,2024.0,True
S0008-6223(24)00440-8__FULL.xml,False,20240601.0,2024.0,True
S0008-6223(24)00510-4__FULL.xml,False,20240901.0,2024.0,True
S0008-6223(24)00745-0__FULL.xml,False,20241001.0,2024.0,True
S0008-6223(24)00846-7__FULL.xml,False,20241101.0,2024.0,True
S0008-6223(24)00977-1__FULL.xml,False,20250115.0,2025.0,True
S0008-6223(24)01085-6__FULL.xml,False,20250201.0,2025.0,True
S0008-6223(24)01188-6__FULL.xml,False,20250305.0,2025.0,True
S0008-6223(25)00004-1__FULL.xml,False,20250305.0,2025.0,True
S0008-6223(25)00635-9__FULL.xml,False,20250901.0,2025.0,True
S0008-6223(25)00676-1__FULL.xml,False,20250901.0,2025.0,True
S0008-6223(25)00710-9__FULL.xml,False,20250901.0,2025.0,True
S0008-6223(25)00796-1__FULL.xml,False,20251001.0,2025.0,True
S0008-6223(25)00831-0__FULL.xml,False,20251001.0,2025.0,True
S0008-6223(25)00848-6__FULL.xml,False,20260101.0,2026.0,True
S0008-6223(25)00974-1__FULL.xml,False,20260201.0,2026.0,True
S0008-8846(19)30092-4__FULL.xml,False,20190901.0,2019.0,True
S0008-8846(24)00051-6__FULL.xml,False,20240501.0,2024.0,True
S0009-2509(01)00084-7__FULL.xml,False,20010701.0,2001.0,True
S0009-2509(01)00319-0__FULL.xml,False,20011201.0,2001.0,True
S0009-2509(04)00628-1__FULL.xml,False,20041101.0,2004.0,True
S0009-2509(07)00226-6__FULL.xml,False,20070601.0,2007.0,True
S0009-2509(07)00597-0__FULL.xml,False,20071201.0,2007.0,True
S0009-2509(07)00859-7__FULL.xml,False,20080301.0,2008.0,True
S0009-2509(09)00196-1__FULL.xml,False,20100101.0,2010.0,True
S0009-2509(09)00626-5__FULL.xml,False,20100116.0,2010.0,True
S0009-2509(10)00278-2__FULL.xml,False,20100715.0,2010.0,True
S0009-2509(11)00176-X__FULL.xml,False,20110601.0,2011.0,True
S0009-2509(11)00677-4__FULL.xml,False,20120122.0,2012.0,True
S0009-2509(12)00071-1__FULL.xml,False,20120528.0,2012.0,True
S0009-2509(12)00371-5__FULL.xml,False,20130204.0,2013.0,True
S0009-2509(12)00518-0__FULL.xml,False,20121224.0,2012.0,True
S0009-2509(12)00735-X__FULL.xml,False,20130307.0,2013.0,True
S0009-2509(13)00760-4__FULL.xml,False,20140317.0,2014.0,True
S0009-2509(13)00771-9__FULL.xml,False,20140407.0,2014.0,True
S0009-2509(13)00833-6__FULL.xml,False,20140419.0,2014.0,True
S0009-2509(14)00228-0__FULL.xml,False,20140906.0,2014.0,True
S0009-2509(14)00270-X__FULL.xml,False,20140906.0,2014.0,True
S0009-2509(14)00437-0__FULL.xml,False,20150106.0,2015.0,True
S0009-2509(14)00455-2__FULL.xml,False,20141108.0,2014.0,True
S0009-2509(16)30098-7__FULL.xml,False,20160602.0,2016.0,True
S0009-2509(16)30144-0__FULL.xml,False,20160712.0,2016.0,True
S0009-2509(16)30681-9__FULL.xml,False,20171012.0,2017.0,True
S0009-2509(17)30327-5__FULL.xml,False,20170831.0,2017.0,True
S0009-2509(17)30505-5__FULL.xml,False,20171214.0,2017.0,True
S0009-2509(17)30506-7__FULL.xml,False,20171214.0,2017.0,True
S0009-2509(17)30576-6__FULL.xml,False,20171231.0,2017.0,True
S0009-2509(17)30607-3__FULL.xml,False,20180116.0,2018.0,True
S0009-2509(18)30160-X__FULL.xml,False,20181102.0,2018.0,True
S0009-2509(18)30728-0__FULL.xml,False,20190223.0,2019.0,True
S0009-2509(19)30449-X__FULL.xml,False,20191012.0,2019.0,True
S0009-2509(19)30721-3__FULL.xml,False,20200116.0,2020.0,True
S0009-2509(20)30502-9__FULL.xml,False,20201231.0,2020.0,True
S0009-2509(20)30620-5__FULL.xml,False,20210116.0,2021.0,True
S0009-2509(20)30838-1__FULL.xml,False,20210215.0,2021.0,True
S0009-2509(20)30921-0__FULL.xml,False,20210406.0,2021.0,True
S0009-2509(21)00076-2__FULL.xml,False,20210518.0,2021.0,True
S0009-2509(21)00138-X__FULL.xml,False,20210720.0,2021.0,True
S0009-2509(21)00657-6__FULL.xml,False,20220116.0,2022.0,True
S0009-2509(21)00702-8__FULL.xml,False,20220202.0,2022.0,True
S0009-2509(22)00506-1__FULL.xml,False,20221012.0,2022.0,True
S0009-2509(22)00730-8__FULL.xml,False,20221231.0,2022.0,True
S0009-2509(22)00900-9__FULL.xml,False,20230305.0,2023.0,True
S0009-2509(22)00921-6__FULL.xml,False,20230305.0,2023.0,True
S0009-2509(22)01022-3__FULL.xml,False,20230315.0,2023.0,True
S0009-2509(23)00125-2__FULL.xml,False,20230505.0,2023.0,True
S0009-2509(23)00226-9__FULL.xml,False,20230615.0,2023.0,True
S0009-2509(23)00472-4__FULL.xml,False,20230815.0,2023.0,True
S0009-2509(23)01022-9__FULL.xml,False,20240205.0,2024.0,True
S0009-2509(24)00072-1__FULL.xml,False,20240405.0,2024.0,True
S0009-2509(24)00100-3__FULL.xml,False,20240415.0,2024.0,True
S0009-2509(24)00481-0__FULL.xml,False,20240805.0,2024.0,True
S0009-2509(24)00645-6__FULL.xml,False,20241005.0,2024.0,True
S0009-2509(24)00708-5__FULL.xml,False,20241005.0,2024.0,True
S0009-2509(24)00790-5__FULL.xml,False,20241105.0,2024.0,True
S0009-2509(24)00883-2__FULL.xml,False,20241205.0,2024.0,True
S0009-2509(24)00884-4__FULL.xml,False,20241205.0,2024.0,True
S0009-2509(24)00903-5__FULL.xml,False,20241205.0,2024.0,True
S0009-2509(24)00992-8__FULL.xml,False,20250105.0,2025.0,True
S0009-2509(24)01104-7__FULL.xml,False,20250205.0,2025.0,True
S0009-2509(24)01180-1__FULL.xml,False,20250205.0,2025.0,True
S0009-2509(24)01340-X__FULL.xml,False,20250201.0,2025.0,True
S0009-2509(24)01400-3__FULL.xml,False,20250201.0,2025.0,True
S0009-2509(25)00160-5__FULL.xml,False,20250315.0,2025.0,True
S0009-2509(25)00164-2__FULL.xml,False,20250315.0,2025.0,True
